player_id,name_last,name_first,link,link_title,name_full_commas,teams_list,first_year,last_year
parkj007,Parker,John,https://afltables.com/afl/stats/players/J/John_Parker.html,Brisbane Bears (1993),"Parker, John",['Brisbane Bears (1993)'],1993,1993
parkk103,Parker,Kevin,https://afltables.com/afl/stats/players/K/Kevin_Parker0.html,Sydney (1964-1966),"Parker, Kevin",['Sydney (1964-1966)'],1964,1966
parkk104,Parker,Kevin,https://afltables.com/afl/stats/players/K/Kevin_Parker1.html,Fitzroy (1966),"Parker, Kevin",['Fitzroy (1966)'],1966,1966
parkl101,Parker,Les,https://afltables.com/afl/stats/players/L/Les_Parker.html,Western Bulldogs (1948),"Parker, Les",['Western Bulldogs (1948)'],1948,1948
parkl003,Parker,Luke,https://afltables.com/afl/stats/players/L/Luke_Parker.html,Sydney (2011-2019),"Parker, Luke",['Sydney (2011-2019)'],2011,2019
parkm002,Parker,Matthew,https://afltables.com/afl/stats/players/M/Matthew_Parker.html,St Kilda (2019),"Parker, Matthew",['St Kilda (2019)'],2019,2019
parkm101,Parker,Max,https://afltables.com/afl/stats/players/M/Max_Parker.html,Western Bulldogs (1971),"Parker, Max",['Western Bulldogs (1971)'],1971,1971
parkr103,Parker,Ross,https://afltables.com/afl/stats/players/R/Ross_Parker.html,Fitzroy (1968),"Parker, Ross",['Fitzroy (1968)'],1968,1968
parks001,Parker,Shane,https://afltables.com/afl/stats/players/S/Shane_Parker.html,Fremantle (1995-2007),"Parker, Shane",['Fremantle (1995-2007)'],1995,2007
parkt101,Parker,Ted,https://afltables.com/afl/stats/players/T/Ted_Parker.html,Melbourne (1925),"Parker, Ted",['Melbourne (1925)'],1925,1925
parke102,Parkes,Eric,https://afltables.com/afl/stats/players/E/Eric_Parkes.html,North Melbourne (1949-1955),"Parkes, Eric",['North Melbourne (1949-1955)'],1949,1955
parkg106,Parkes,Gary,https://afltables.com/afl/stats/players/G/Gary_Parkes.html,"Essendon (1970-1976), Richmond (1978-1979)","Parkes, Gary","['Essendon (1970-1976)', ' Richmond (1978-1979)']",1970,1979
parkd102,Parkin,David,https://afltables.com/afl/stats/players/D/David_Parkin.html,Hawthorn (1961-1974),"Parkin, David",['Hawthorn (1961-1974)'],1961,1974
parkh101,Parkin,Harry,https://afltables.com/afl/stats/players/H/Harry_Parkin.html,"Geelong (1899), Melbourne (1900-1906)","Parkin, Harry","['Geelong (1899)', ' Melbourne (1900-1906)']",1899,1906
parkj102,Parkin,Jack,https://afltables.com/afl/stats/players/J/Jack_Parkin.html,Geelong (1897-1899),"Parkin, Jack",['Geelong (1897-1899)'],1897,1899
parkr102,Parkin,Roy,https://afltables.com/afl/stats/players/R/Roy_Parkin.html,Richmond (1926),"Parkin, Roy",['Richmond (1926)'],1926,1926
parkf101,Parkinson,Fred,https://afltables.com/afl/stats/players/F/Fred_Parkinson.html,"Essendon (1907-1910), Collingwood (1912)","Parkinson, Fred","['Essendon (1907-1910)', ' Collingwood (1912)']",1907,1912
parkg102,Parkinson,George,https://afltables.com/afl/stats/players/G/George_Parkinson0.html,Richmond (1919-1921),"Parkinson, George",['Richmond (1919-1921)'],1919,1921
parkg101,Parkinson,George,https://afltables.com/afl/stats/players/G/George_Parkinson1.html,Essendon (1913-1914),"Parkinson, George",['Essendon (1913-1914)'],1913,1914
parkj106,Parkinson,John,https://afltables.com/afl/stats/players/J/John_Parkinson.html,Collingwood (1971),"Parkinson, John",['Collingwood (1971)'],1971,1971
parkv101,Parkinson,Viv,https://afltables.com/afl/stats/players/V/Viv_Parkinson.html,St Kilda (1910),"Parkinson, Viv",['St Kilda (1910)'],1910,1910
parkd101,Parks,Doug,https://afltables.com/afl/stats/players/D/Doug_Parks.html,Fitzroy (1924),"Parks, Doug",['Fitzroy (1924)'],1924,1924
parkk102,Parks,Kevin,https://afltables.com/afl/stats/players/K/Kevin_Parks.html,Essendon (1958-1959),"Parks, Kevin",['Essendon (1958-1959)'],1958,1959
parko101,Parks,Ossy,https://afltables.com/afl/stats/players/O/Ossy_Parks.html,North Melbourne (1938-1942),"Parks, Ossy",['North Melbourne (1938-1942)'],1938,1942
parrp101,Parratt,Percy,https://afltables.com/afl/stats/players/P/Percy_Parratt.html,Fitzroy (1909-1923),"Parratt, Percy",['Fitzroy (1909-1923)'],1909,1923
parrk101,Parris,Keith,https://afltables.com/afl/stats/players/K/Keith_Parris.html,Essendon (1928-1929),"Parris, Keith",['Essendon (1928-1929)'],1928,1929
parrs101,Parry,Seff,https://afltables.com/afl/stats/players/S/Seff_Parry.html,Fitzroy (1933),"Parry, Seff",['Fitzroy (1933)'],1933,1933
parsb101,Parsons,Bob,https://afltables.com/afl/stats/players/B/Bob_Parsons.html,Western Bulldogs (1963),"Parsons, Bob",['Western Bulldogs (1963)'],1963,1963
parsc101,Parsons,Charlie,https://afltables.com/afl/stats/players/C/Charlie_Parsons.html,Carlton (1929-1930),"Parsons, Charlie",['Carlton (1929-1930)'],1929,1930
parse101,Parsons,Eric,https://afltables.com/afl/stats/players/E/Eric_Parsons.html,Melbourne (1914),"Parsons, Eric",['Melbourne (1914)'],1914,1914
parsh101,Parsons,Harry,https://afltables.com/afl/stats/players/H/Harry_Parsons.html,St Kilda (1906-1908),"Parsons, Harry",['St Kilda (1906-1908)'],1906,1908
parsj001,Parsons,James,https://afltables.com/afl/stats/players/J/James_Parsons.html,Geelong (2017-2018),"Parsons, James",['Geelong (2017-2018)'],2017,2018
parsm001,Parsons,Michael,https://afltables.com/afl/stats/players/M/Michael_Parsons.html,Sydney (1988-1990),"Parsons, Michael",['Sydney (1988-1990)'],1988,1990
parss101,Parsons,Steve,https://afltables.com/afl/stats/players/S/Steve_Parsons.html,Richmond (1974),"Parsons, Steve",['Richmond (1974)'],1974,1974
partl001,Partington,Luke,https://afltables.com/afl/stats/players/L/Luke_Partington.html,West Coast (2017),"Partington, Luke",['West Coast (2017)'],2017,2017
pascb102,Pascoe,Barry,https://afltables.com/afl/stats/players/B/Barry_Pascoe.html,"North Melbourne (1967), St Kilda (1968-1970)","Pascoe, Barry","['North Melbourne (1967)', ' St Kilda (1968-1970)']",1967,1970
pascb101,Pascoe,Bob,https://afltables.com/afl/stats/players/B/Bob_Pascoe.html,"North Melbourne (1964-1967), St Kilda (1968-1970)","Pascoe, Bob","['North Melbourne (1964-1967)', ' St Kilda (1968-1970)']",1964,1970
pasce101,Pascoe,Eric,https://afltables.com/afl/stats/players/E/Eric_Pascoe.html,Carlton (1972-1976),"Pascoe, Eric",['Carlton (1972-1976)'],1972,1976
pascm101,Pascoe,Mal,https://afltables.com/afl/stats/players/M/Mal_Pascoe.html,Essendon (1953-1958),"Pascoe, Mal",['Essendon (1953-1958)'],1953,1958
pashm101,Pash,Martin,https://afltables.com/afl/stats/players/M/Martin_Pash.html,Sydney (1906),"Pash, Martin",['Sydney (1906)'],1906,1906
paskm001,Pask,Martin,https://afltables.com/afl/stats/players/M/Martin_Pask.html,Brisbane Lions (2006),"Pask, Martin",['Brisbane Lions (2006)'],2006,2006
pasqc101,Pasquill,Clive,https://afltables.com/afl/stats/players/C/Clive_Pasquill.html,Sydney (1966-1967),"Pasquill, Clive",['Sydney (1966-1967)'],1966,1967
passm001,Passmore,Michael,https://afltables.com/afl/stats/players/M/Michael_Passmore.html,North Melbourne (1984-1988),"Passmore, Michael",['North Melbourne (1984-1988)'],1984,1988
pasta001,Pastore,Anthony,https://afltables.com/afl/stats/players/A/Anthony_Pastore.html,Richmond (1987),"Pastore, Anthony",['Richmond (1987)'],1987,1987
pateh101,Paternoster,Henry,https://afltables.com/afl/stats/players/H/Henry_Paternoster.html,Sydney (1908),"Paternoster, Henry",['Sydney (1908)'],1908,1908
patej102,Paternoster,Jim,https://afltables.com/afl/stats/players/J/Jim_Paternoster.html,Fitzroy (1901),"Paternoster, Jim",['Fitzroy (1901)'],1901,1901
patem101,Paternoster,Matt,https://afltables.com/afl/stats/players/M/Matt_Paternoster.html,Fitzroy (1901),"Paternoster, Matt",['Fitzroy (1901)'],1901,1901
pater101,Paternoster,Ron,https://afltables.com/afl/stats/players/R/Ron_Paternoster.html,"Western Bulldogs (1937), Hawthorn (1938)","Paternoster, Ron","['Western Bulldogs (1937)', ' Hawthorn (1938)']",1937,1938
pateb101,Paterson,Bob,https://afltables.com/afl/stats/players/B/Bob_Paterson.html,Geelong (1897),"Paterson, Bob",['Geelong (1897)'],1897,1897
patej103,Paterson,Jack,https://afltables.com/afl/stats/players/J/Jack_Paterson.html,Geelong (1920-1926),"Paterson, Jack",['Geelong (1920-1926)'],1920,1926
patej101,Paterson,Jimmy,https://afltables.com/afl/stats/players/J/Jimmy_Paterson.html,Sydney (1899),"Paterson, Jimmy",['Sydney (1899)'],1899,1899
patep101,Paterson,Peter,https://afltables.com/afl/stats/players/P/Peter_Paterson.html,Essendon (1938-1945),"Paterson, Peter",['Essendon (1938-1945)'],1938,1945
