playerID,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP,name_last,name_first,first_year,last_year
mcinj005,1,0,0,0,0,1,0,3,1,0,2,0,0,0,0,1,1,0,0,0,2,0,McInerney,Justin,2019,2019
mcinj101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McIntyre,Jack,1903,1903
mcinj102,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,McInnes,John,1905,1905
mcinj103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McIntosh,Jack,1906,1906
mcinj104,0,29,0,0,0,0,0,0,887,103,93,0,29,165,139,0,722,0,296,0,0,0,McIntosh,John,1970,1972
mcink002,188,20,52,2,221,63,26,400,1240,70,45,27,25,403,2,226,837,27,320,168,222,834,McIntosh,Kamdyn,2015,2019
mcink101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McIntosh,Keith,1951,1951
mcinl101,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,McInerney,Leo,1918,1919
mcinm101,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,McIntyre,Milton,1933,1933
mcinn101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,McIntosh,Norm,1920,1924
mcinn102,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,McIntosh,Neil,1942,1944
mcino001,80,9,0,0,53,30,39,138,211,27,15,6,18,110,327,27,101,20,65,11,56,75,McInerney,Oscar,2018,2019
mcinp001,0,17,0,0,0,0,0,0,104,14,8,0,19,29,3,0,75,0,43,0,2,0,McIntyre,Peter,1991,1992
mcinr101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McInnes,Russell,1936,1937
mcint001,0,1,1,0,3,1,0,3,6,1,2,0,2,0,0,1,6,1,2,0,5,3,McIntyre,Tim,2012,2012
mcivd101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McIvor,Duncan,1909,1914
mcivi101,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,McIvor,Ivor,1940,1946
mcivs001,0,76,0,22,0,0,0,0,3639,284,288,0,96,1618,41,0,2021,0,811,0,259,0,McIvor,Scott,1985,1997
mckaa001,297,40,51,45,221,189,67,723,3942,269,197,2,28,1675,28,241,2267,15,889,428,423,1207,McKay,Andrew,1993,2003
mckab002,17,1,0,0,5,1,1,9,30,1,1,0,0,17,3,2,13,0,11,1,7,23,McKay,Ben,2017,2019
mckab101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKay,Bill,1897,1897
mckad101,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,McKay,Dinny,1897,1897
mckad102,0,225,0,0,0,0,0,0,3546,617,422,0,279,675,1001,0,2871,0,1632,0,0,0,McKay,David,1969,1981
mckah003,35,26,7,0,48,7,50,140,248,31,32,7,40,66,41,46,182,44,127,7,38,119,McKay,Harry,2017,2019
mckah101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKay,Hugh,1907,1908
mckah102,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKay,Hec,1926,1935
mckaj001,2,0,0,0,2,1,0,3,15,1,0,0,0,8,0,0,7,0,5,0,3,2,McKay,Joel,1998,2000
mckak101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKaige,Ken,1951,1954
mckar101,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,McKay,Roy,1930,1935
mckat101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKay,Tom,1959,1964
mckea003,0,14,0,15,0,0,0,0,778,65,119,0,15,309,0,0,469,0,142,0,53,0,McKellar,Allan,1986,1992
mckea101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Arthur,1898,1898
mckea102,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,McKenzie,Alec,1902,1908
mckeb008,47,5,6,0,61,40,7,128,486,14,16,11,6,173,1,63,313,4,128,76,67,338,McKenzie,Brad,2012,2016
mckeb101,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,McKenzie,Bill,1909,1919
mckeb102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKeone,Bill,1911,1911
mckeb103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKendry,Bob,1914,1914
mckeb104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Bill,1958,1958
mckeb105,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,McKellar,Barney,1960,1962
mckeb106,0,2,0,0,0,0,0,0,1059,141,149,0,0,96,2,0,963,0,194,0,0,0,McKenzie,Brian,1966,1972
mckeb107,0,13,0,0,0,0,0,0,303,56,38,0,15,45,257,0,258,0,102,0,0,0,McKenzie,Barry,1968,1972
mckec003,143,202,73,77,245,311,266,838,3012,379,288,10,310,877,2146,437,2135,215,1201,73,170,545,McKernan,Corey,1993,2003
mckec004,123,12,113,1,152,31,12,267,1004,42,35,25,18,354,0,135,650,7,195,180,92,639,McKenna,Conor,2015,2019
mckec101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Croft,1920,1923
mckec102,0,47,0,0,0,0,0,0,1287,148,254,0,44,394,1155,0,893,0,441,0,0,0,McKellar,Craig,1971,1978
mcked007,110,2,13,0,88,25,17,216,534,39,26,4,3,289,0,46,245,4,157,76,116,336,McKenzie,Daniel,2015,2019
mcked102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKey,Denis,1932,1932
mcked103,0,23,0,0,0,0,0,0,2004,540,494,0,23,229,2097,0,1775,0,526,0,0,0,McKenzie,Don,1960,1974
mcked104,0,99,0,0,0,0,0,0,1237,124,138,0,128,170,1,0,1067,0,344,0,0,0,McKenzie,Don,1962,1970
mcked105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKenzie,David,1964,1964
mcked106,0,0,0,0,0,0,0,0,217,40,26,0,0,35,0,0,182,0,33,0,0,0,McKenzie,Des,1968,1969
mckeg002,47,25,22,79,61,57,22,216,4572,253,311,0,28,2156,18,41,2416,2,1113,184,530,284,McKenna,Guy,1988,2000
mckeg101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Gerald,1930,1930
mckej007,84,7,7,6,178,265,4,645,1356,101,110,21,10,860,2,157,496,5,138,64,432,712,McKenzie,Jordie,2009,2015
mckej101,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,McKenzie,Jack,1901,1915
mckej102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKean,Jim,1903,1903
mckej103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,John,1906,1906
mckej104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKenzie,Joe,1910,1910
mckej105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,McKenzie,Jack,1929,1929
mckej106,0,0,0,3,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,McKenzie,Jock,1931,1939
mckek101,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,McKenzie,Ken,1909,1911
mckek102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKernan,Ken,1934,1935
mckek103,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,McKenzie,Keith,1944,1951
mckek104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKee,Keith,1950,1950
mckem002,0,40,0,3,0,0,0,0,1737,184,205,0,55,589,1,0,1148,0,125,0,0,0,McKenna,Michael,1979,1985
mckem101,0,0,0,0,0,0,0,0,54,8,11,0,0,13,0,0,41,0,9,0,0,0,McKeon,Mark,1978,1978
mcken003,136,1,2,1,51,9,4,82,244,22,12,4,2,140,34,16,104,0,75,33,27,158,McKeever,Niall,2011,2013
mcken101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,McKenzie,Norm,1959,1962
mcken102,0,5,0,0,0,0,0,0,116,7,10,0,1,20,0,0,96,0,10,0,0,0,McKernan,Noel,1966,1968
mckeo101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKelson,Ollie,1903,1903
mckep101,0,470,0,0,0,0,0,0,2244,399,336,0,874,232,2,0,2012,0,1114,0,0,0,McKenna,Peter,1965,1977
mcker004,0,86,0,8,0,0,0,0,1238,120,112,0,105,507,15,0,731,0,375,0,44,0,McKeown,Ron,1984,1993
mcker101,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,McKenzie,Robert,1948,1955
mcker102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Ron,1952,1953
mcker103,0,32,0,0,0,0,0,0,660,124,107,0,21,110,2,0,550,0,113,0,0,0,McKenzie,Robert,1969,1972
mckes005,148,10,10,3,104,175,44,426,818,76,59,3,14,432,645,90,386,15,238,71,151,357,McKee,Steven,1998,2004
mckes006,169,43,4,3,207,109,81,402,751,127,54,19,55,289,662,129,462,60,241,34,111,369,McKernan,Shaun,2009,2019
mckes101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,McKenzie,Stan,1914,1914
mckes102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKenzie,Stan,1918,1925
mckes103,0,10,0,0,0,0,0,0,574,94,108,0,7,72,4,0,502,0,81,0,0,0,McKew,Shane,1970,1973
mckes104,0,0,0,0,0,0,0,0,59,15,12,0,0,18,57,0,41,0,15,0,0,0,McKenzie,Stuart,1982,1982
mcket002,286,38,68,0,223,93,39,498,1693,54,72,19,22,491,8,261,1202,12,463,377,289,1049,McKenzie,Trent,2011,2018
mcket101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKeegan,Tim,1900,1902
mckew002,0,40,0,0,0,0,0,0,843,87,90,0,56,338,121,0,505,0,276,0,55,0,McKenzie,Warren,1985,1992
mckia001,0,4,0,0,0,0,0,0,209,12,9,0,7,77,1,0,132,0,19,0,23,0,McKinnon,Andrew,1989,1990
mckib002,42,64,20,2,58,17,35,197,492,24,31,21,89,158,1,82,334,91,192,8,72,283,McKinley,Ben,2007,2011
mckib101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKinley,Bill,1903,1908
mckic101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKinley,Charlie,1928,1928
mckij101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKinley,Joe,1932,1932
mckim001,5,51,0,6,25,18,3,31,1025,65,53,0,50,399,2,44,626,4,250,20,94,41,McKinnon,Martin,1994,2000
mckir101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKindlay,Rod,1957,1959
mckiv101,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,McKinnon,Vic,1949,1952
mcknb101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKnight,Bert,1909,1909
mcknj101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McKnight,Jimmy,1944,1946
mclaa101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,McLaughlin,Alan,1946,1950
mclad001,0,1,0,0,0,0,0,0,26,7,5,0,1,6,0,0,20,0,1,0,0,0,McLaine,Darren,1984,1984
mclad002,138,7,5,0,64,94,20,215,375,35,60,8,10,222,623,32,153,9,110,28,112,161,McLaren,Dylan,2001,2006
mclag101,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,McLaren,George,1944,1951
mclah101,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McLaughlin,Hugh,1929,1937
mclah102,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,McLaughlin,Hugh,1955,1964
mclaj001,44,38,50,3,71,69,8,168,875,34,33,0,39,259,5,192,616,31,283,63,47,461,McLaren,Joe,1996,2001
mclam101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McLaren,Mick,1955,1955
