,playerID,team,theyear,round_number,Opponent,R,%P,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP
55,watec002,Brisbane Bears,1988,12,Hawthorn,L,0,0,0,0,0,0,0,0,0,13,1,2,0,0,1,0,0,12,0,3,0,4,0
56,watec002,Brisbane Bears,1988,13,North Melbourne,L,0,0,1,0,0,0,0,0,0,19,2,2,0,1,1,0,0,18,0,2,0,3,0
57,watec002,Brisbane Bears,1988,14,St Kilda,W,0,0,0,0,0,0,0,0,0,37,1,2,0,1,6,0,0,31,0,7,0,2,0
58,watec002,Brisbane Bears,1988,15,Hawthorn,L,0,0,0,0,0,0,0,0,0,14,2,1,0,0,1,0,0,13,0,2,0,1,0
59,watec002,Brisbane Bears,1988,16,West Coast,L,0,0,0,0,0,0,0,0,0,16,0,0,0,1,8,0,0,8,0,2,0,0,0
60,watec002,Brisbane Bears,1988,17,Essendon,L,0,0,0,0,0,0,0,0,0,16,1,3,0,0,5,0,0,11,0,4,0,0,0
61,watec002,Brisbane Bears,1988,18,Footscray,L,0,0,0,0,0,0,0,0,0,20,1,1,0,2,6,0,0,14,0,3,0,0,0
62,watec002,Brisbane Bears,1988,19,Collingwood,L,0,0,0,0,0,0,0,0,0,20,0,2,0,1,5,0,0,15,0,6,0,3,0
63,watec002,Brisbane Bears,1988,20,Richmond,W,0,0,0,0,0,0,0,0,0,12,1,1,0,0,4,0,0,8,0,2,0,1,0
64,watec002,Brisbane Bears,1988,21,Carlton,L,0,0,0,0,0,0,0,0,0,12,1,1,0,0,2,0,0,10,0,1,0,0,0
65,watec002,Brisbane Bears,1988,22,Sydney,L,0,0,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,4,0,1,0,1,0
66,watec101,Richmond,1978,21,Fitzroy,L,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,6,0,2,0,2,0,0,0
67,watec101,Richmond,1978,22,Footscray,W,0,0,4,0,0,0,0,0,0,9,1,1,0,1,3,2,0,6,0,2,0,0,0
68,watec101,Richmond,1980,31,Carlton,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,watec101,Richmond,1981,7,Fitzroy,L,0,0,0,0,0,0,0,0,0,17,2,4,0,1,6,0,0,11,0,4,0,0,0
70,watec101,Richmond,1981,8,Footscray,W,0,0,3,0,0,0,0,0,0,18,1,2,0,1,6,0,0,12,0,1,0,0,0
71,watec101,Richmond,1981,9,St Kilda,W,0,0,1,0,0,0,0,0,0,14,1,2,0,1,4,1,0,10,0,1,0,0,0
72,watec101,Richmond,1981,11,Melbourne,W,0,0,0,0,0,0,0,0,0,30,2,3,0,3,12,0,0,18,0,3,0,0,0
73,watec101,Richmond,1981,12,South Melbourne,W,0,0,0,0,0,0,0,0,0,23,1,4,0,0,13,2,0,10,0,6,0,0,0
74,watec101,Richmond,1981,13,Essendon,L,0,0,0,0,0,0,0,0,0,21,0,2,0,0,12,1,0,9,0,0,0,0,0
75,watec101,Richmond,1981,14,North Melbourne,W,0,0,2,0,0,0,0,0,0,25,0,2,0,1,10,0,0,15,0,7,0,0,0
76,watec101,Richmond,1981,15,Geelong,L,0,0,0,0,0,0,0,0,0,21,1,3,0,0,7,0,0,14,0,4,0,0,0
77,watec101,Richmond,1981,16,Hawthorn,W,0,0,0,0,0,0,0,0,0,10,1,0,0,0,5,0,0,5,0,4,0,0,0
78,watec101,Richmond,1981,17,Fitzroy,L,0,0,0,0,0,0,0,0,0,13,1,0,0,1,8,0,0,5,0,4,0,0,0
79,watkk101,North Melbourne,1944,3,Fitzroy,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,watkk101,North Melbourne,1944,5,South Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,watkk101,North Melbourne,1944,6,Hawthorn,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,watkk101,North Melbourne,1944,7,Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,watkk101,North Melbourne,1944,8,Essendon,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,watkl101,Carlton,1938,18,St Kilda,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,watsd101,Collingwood,1899,10,St Kilda,W,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
86,watsd101,Collingwood,1899,11,South Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,watsd101,Collingwood,1899,12,Carlton,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,watsd101,Collingwood,1899,13,Fitzroy,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,watsd101,Collingwood,1899,14,Essendon,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,watsd101,Collingwood,1899,15,Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
91,watsd101,Collingwood,1899,16,Carlton,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,watsd101,Collingwood,1899,17,Fitzroy,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,watsd101,Collingwood,1900,1,Fitzroy,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,watsd101,Collingwood,1900,2,Geelong,L,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,watsd101,Collingwood,1900,4,Essendon,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,watsd101,Collingwood,1900,5,St Kilda,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,watsd101,Collingwood,1900,6,Carlton,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
