ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
davij007,"Davis","Jonathan",09/05/2018,,,
davik001,"Davis","Kane",06/12/2000,,,
davik003,"Davis","Khris",04/01/2013,,,
davic101,"Davis","Crash",06/05/1940,,,
davim004,"Davis","Mark",07/02/1991,,,
davib003,"Davis","Ben",09/25/1998,,,
davim001,"Davis","Mark",09/12/1980,,03/31/2003,
davim002,"Davis","Mike",04/10/1980,,,
davio101,"Davis","Odie",09/03/1980,,,
davio102,"Davis","Otis",04/22/1946,,,
davir003,"Davis","Rajai",08/14/2006,,,
david101,"Davis","Dick",07/12/1977,,,
davib103,"Davis","Brandy",04/15/1952,,04/15/1972,
davib102,"Davis","Bob",07/26/1958,,,
davib101,"Davis","Bob",04/06/1973,,,
davir102,"Davis","Ron",08/01/1962,,,
davir001,"Davis","Ron",07/29/1978,,,
davip101,"Davis","Peaches",07/11/1936,,,
davir002,"Davis","Russ",07/06/1994,,,
davis002,"Davis","Steve",08/25/1985,,,
davis102,"Davis","Steve",09/23/1979,,,
davit004,"Davis","Taylor",09/08/2017,,,
davit003,"Davis","Tommy",05/14/1999,,,
davit101,"Davis","Tod",04/27/1949,,,
davit002,"Davis","Tim",04/04/1994,,,
davit001,"Davis","Trench",06/04/1985,,,
davis101,"Davis","Spud",04/30/1928,9/28/1946,04/15/1941,
daviw001,"Davis","Wade",09/06/2009,,,
davib001,"Davis","Butch",08/23/1983,,04/06/2015,
daviw103,"Davis","Wiley",04/18/1896,,,
daviw102,"Davis","Willie",09/08/1960,,,
davir004,"Davis","Rookie",04/06/2017,,,
daviw101,"Davis","Woody",05/02/1938,,,
davim101,"Davison","Mike",10/01/1969,,,
davis003,"Davison","Scott",09/04/1995,,,
dawkt001,"Dawkins","Travis",09/03/1999,,,
dawlj001,"Dawley","Joey",09/29/2002,,,
dawlb001,"Dawley","Bill",04/15/1983,,,
dawsa001,"Dawson","Andre",09/11/1976,,,
dawsj101,"Dawson","Joe",07/04/1924,,,
dawsr101,"Dawson","Rex",10/03/1913,,,
day-d001,"Day","Dewon",05/28/2007,,,
day-b102,"Day","Boots",06/15/1969,,,
day-c101,"Day","Pea Ridge",09/19/1924,,,
day-z001,"Day","Zach",06/15/2002,,,
day-b101,"Day","Bill",08/20/1889,,,
dayeb001,"Dayett","Brian",09/11/1983,,,
daylk001,"Dayley","Ken",05/13/1982,,,
daytg001,"Dayton","Grant",07/22/2016,,,
deaza001,"de Aza","Alejandro",04/02/2007,,,
decay001,"de Caster","Yurendell",05/21/2006,,,
defrj001,"De Fratus","Justin",09/18/2011,,,
dejei001,"De Jesus","Ivan",09/13/1974,,04/05/2010,
dejei002,"De Jesus","Ivan",04/01/2011,,,
dejej001,"De Jesus","Jose",09/09/1988,,,
dejoc001,"De Jong","Chase",04/05/2017,,,
dejoj001,"De Jong","Jordan",06/06/2007,,,
delae001,"de la Cruz","Eulogio",06/18/2007,,,
delaj003,"de la Cruz","Joel",06/29/2016,,,
delat102,"de la Cruz","Tommy",04/20/1944,,,
delam101,"de la Hoz","Mike",07/22/1960,,,
delad001,"de la Rosa","Dane",07/20/2011,,,
delae002,"de la Rosa","Eury",07/14/2013,,,
delaf001,"de la Rosa","Francisco",09/07/1991,,,
delaj101,"de la Rosa","Jesus",08/02/1975,,,
delaj001,"de la Rosa","Jorge",08/14/2004,,,
delar003,"de la Rosa","Rubby",05/24/2011,,,
delat001,"de la Rosa","Tomas",07/17/2000,,,
delaj002,"de la Torre","Jose",05/12/2013,,,
delej002,"de Leon","Jorge",08/09/2013,,,
delej003,"De Leon","Jose",09/04/2016,,,
deloa001,"de los Santos","Abel",07/21/2015,,,
deloe001,"De Los Santos","Enyel",07/10/2018,,,
delof001,"de los Santos","Fautino",06/04/2011,,,
delol002,"de los Santos","Luis",07/20/2002,,,
delol001,"de los Santos","Luis",09/07/1988,,,
delor101,"de los Santos","Ramon",08/21/1974,,,
delov001,"de los Santos","Valerio",07/31/1998,,,
depaj002,"de Paula","Jorge",09/05/2003,,,
depaj004,"De Paula","Jose",06/21/2015,,,
devrc001,"De Vries","Cole",05/24/2012,,,
deagr101,"Deagle","Ren",05/17/1883,,,
deagr001,"Deago","Roger",05/10/2003,,,
dealc102,"Deal","Charlie",07/17/1912,,,
dealc101,"Deal","Cot",09/11/1947,,04/09/1959,
deall101,"Deal","Lindsay",09/13/1939,,,
deals101,"Deal","Snake",07/09/1906,,,
dealp101,"Dealy","Pat",09/30/1884,,,08/20/1886
deanc101,"Dean","Chubby",04/14/1936,,,
deana001,"Dean","Austin",08/15/2018,,,
deand101,"Dean","Dory",06/22/1876,,,
deanh102,"Dean","Harry",04/16/1941,,,
deand102,"Dean","Dizzy",09/28/1930,,04/15/1941,
deanp001,"Dean","Pat",05/11/2016,,,
deanp101,"Dean","Paul",04/18/1934,,,
deant101,"Dean","Tommy",09/17/1967,,,
deanw101,"Dean","Wayland",04/17/1924,,,
deanh101,"Deane","Harry",07/12/1871,07/26/1871,,08/29/1871
dearb101,"Dear","Buddy",09/09/1927,,,
dearc101,"DeArmond","Charlie",09/19/1903,,,
deasj101,"Deasley","John",06/17/1884,,,
deasp101,"Deasley","Pat",05/18/1881,,,
debad101,"DeBarr","Dennis",05/14/1977,,,
debeh101,"DeBerry","Hank",09/12/1916,,,
debej101,"DeBerry","Joe",08/24/1920,,,
debua101,"DeBus","Adam",07/14/1917,,,
debud101,"DeBusschere","Dave",04/22/1962,,,
decaa101,"Decatur","Art",04/15/1922,,,
decid001,"DeCinces","Doug",09/09/1973,,,
deckc001,"Decker","Cody",09/14/2015,,,
deckm101,"Decker","Marty",09/20/1983,,,
deckh101,"Decker","Harry",08/23/1884,,,
deckf101,"Decker","Frank",06/25/1879,,,
deckg101,"Decker","George",07/11/1892,,,
deckj101,"Decker","Joe",09/18/1969,,,
deckj001,"Decker","Jaff",06/20/2013,,,
decks001,"Decker","Steve",09/18/1990,,04/04/2016,
dedea101,"Dede","Artie",10/04/1916,,,
deder101,"Dedeaux","Rod",09/28/1935,,,
dedmj001,"Dedmon","Jeff",09/02/1983,,,
dedrj001,"Dedrick","Jim",08/12/1995,,,
dedus001,"Deduno","Samuel",08/27/2010,,,
dee-j101,"Dee","Jim",07/30/1884,,,
dee-s101,"Dee","Shorty",09/14/1915,,,
deegd101,"Deegan","Dummy",08/03/1901,,,
deerr001,"Deer","Rob",09/04/1984,,04/01/2013,
deerj101,"Deering","John",05/12/1903,,,
deesc101,"Dees","Charlie",05/26/1963,,,
deetd001,"Deetz","Dean",09/05/2018,,,
defat101,"DeFate","Tony",04/18/1917,,,
defra101,"DeFreites","Arturo",09/07/1978,,,
degem101,"DeGerick","Mike",09/04/1961,,,
degrr101,"DeGroff","Rube",09/22/1905,,,
degrj001,"deGrom","Jacob",05/15/2014,,,
dehak001,"DeHaan","Kory",04/25/2000,,,
dehar001,"DeHart","Rick",07/16/1997,,,
dehlh101,"Dehlman","Herman",05/02/1872,,,07/23/1873
deidj101,"Deidel","Jim",05/31/1974,,,
deinp101,"Deininger","Pep",04/26/1902,,,
deisp101,"Deisel","Pat",08/21/1902,,,
deitb101,"Deitrick","Bill",09/19/1927,,,
dejam101,"Dejan","Mike",07/13/1940,,,
dejem001,"DeJean","Mike",05/02/1997,,,
dejed001,"DeJesus","David",09/02/2003,,,
dejom101,"DeJohn","Mark",04/28/1982,,04/01/1996,
dejop001,"DeJong","Paul",05/28/2017,,,
dekob101,"DeKoning","Bill",05/27/1945,,,
delgb101,"Del Greco","Bobby",04/16/1952,,,
delre001,"Del Rosario","Enerio",05/24/2010,,,
rosaf001,"Del Rosario","Francisco",05/06/2006,,,
delsg101,"Del Savio","Garton",04/24/1943,,,
deltm001,"Del Toro","Miguel",04/06/1999,,,
delas001,"Delabar","Steve",09/11/2011,,,
delae101,"Delahanty","Ed",05/22/1888,,,
delaf101,"Delahanty","Frank",08/23/1905,,,
delaj103,"Delahanty","Jim",04/19/1901,,,
delaj102,"Delahanty","Joe",09/30/1907,,,
delat101,"Delahanty","Tom",09/29/1894,,,
delar001,"DeLaMaza","Roland",09/26/1997,,,
delab102,"DeLancey","Bill",09/11/1932,,,
delaa101,"Delaney","Art",04/16/1924,,,
delar002,"Delaney","Rob",09/04/2010,,,
delab101,"Delaney","Bill",08/21/1890,,,
delcm001,"Delcarmen","Manny",07/26/2005,,,
delej001,"DeLeon","Jose",07/23/1983,,,
delel001,"DeLeon","Luis",09/06/1981,,,
delga001,"Delgado","Alex",04/04/1996,,,
delgc001,"Delgado","Carlos",10/01/1993,,,
delgj001,"Delgado","Jesus",09/17/2008,,,
delgp101,"Delgado","Puchy",09/06/1977,,,
delgr001,"Delgado","Randall",06/17/2011,,,
delgw001,"Delgado","Wilson",09/24/1996,,,
